Date,Open,High,Low,Close,Adj Close,Volume,percent_chnage,Jump,Big_Jump,Drop,Big_Drop
2023-03-24,3939.2099609375,3972.739990234375,3909.159912109375,3970.989990234375,3970.989990234375,4583970000,0.8067614981688287,1,0,0,0
2023-03-27,3982.929931640625,4003.830078125,3970.489990234375,3977.530029296875,3977.530029296875,4233540000,-0.13557613205427144,0,0,1,0
2023-03-28,3974.1298828125,3979.199951171875,3951.530029296875,3971.27001953125,3971.27001953125,4014600000,-0.07196199836393413,0,0,1,0
2023-03-29,3999.530029296875,4030.590087890625,3999.530029296875,4027.81005859375,4027.81005859375,4145250000,0.7070838095906584,1,0,0,0
2023-03-30,4046.739990234375,4057.85009765625,4032.10009765625,4050.830078125,4050.830078125,3930860000,0.10107118076514432,1,0,0,0
2023-03-31,4056.179931640625,4110.75,4056.179931640625,4109.31005859375,4109.31005859375,4525120000,1.3098562649718426,0,1,0,0
2023-04-03,4102.2001953125,4127.66015625,4098.7900390625,4124.509765625,4124.509765625,4234700000,0.5438440166326552,1,0,0,0
2023-04-04,4128.02978515625,4133.1298828125,4086.8701171875,4100.60009765625,4100.60009765625,4227800000,-0.6644740694127904,0,0,1,0
2023-04-05,4094.5,4099.68994140625,4072.56005859375,4090.3798828125,4090.3798828125,3968020000,-0.10062564873610791,0,0,1,0
2023-04-06,4081.14990234375,4107.31982421875,4069.840087890625,4105.02001953125,4105.02001953125,3486690000,0.5848870479810531,1,0,0,0
2023-04-10,4085.199951171875,4109.5,4072.550048828125,4109.10986328125,4109.10986328125,3423650000,0.5852813178095717,1,0,0,0
2023-04-11,4110.2900390625,4124.259765625,4102.60986328125,4108.93994140625,4108.93994140625,3665830000,-0.03284677342521025,0,0,1,0
2023-04-12,4121.72021484375,4134.3701171875,4086.93994140625,4091.949951171875,4091.949951171875,3633120000,-0.7222776442870171,0,0,1,0
2023-04-13,4100.0400390625,4150.259765625,4099.39990234375,4146.22021484375,4146.22021484375,3596590000,1.1263347513993827,0,1,0,0
2023-04-14,4140.10986328125,4163.18994140625,4113.2001953125,4137.64013671875,4137.64013671875,3575690000,-0.0596536479479437,0,0,1,0
2023-04-17,4137.169921875,4151.72021484375,4123.18017578125,4151.31982421875,4151.31982421875,3611180000,0.342018882737527,1,0,0,0
